coords,nb_x,nb_y,likelihood,nt_x,nt_y,likelihood,adam_x,adam_y,likelihood,nb_ad_x,nb_ad_y,nt_ad_x,nt_ad_y
109,158.3415222,210.7740173,1,156.2893982,249.2772827,1,196.6878052,343.4812622,1,38.34628296,132.7072449,40.39840698,94.20397949
110,159.4117279,210.4411621,1,157.6346741,248.9014435,1,196.8965759,343.6460571,1,37.48484802,133.204895,39.26190186,94.74461365
111,159.9782715,210.2643738,1,158.112442,248.6174164,1,197.5558319,344.2406616,1,37.57756042,133.9762878,39.44338989,95.62324524
112,160.640213,210.0473633,1,158.9009552,248.2612305,1,197.8807373,344.2012939,1,37.24052429,134.1539307,38.9797821,95.94006348
113,160.9989624,209.5939636,1,159.5089417,248.1893616,1,198.0199585,344.565918,1,37.02099609,134.9719543,38.51101685,96.3765564
114,161.1205597,209.2511597,1,160.1209717,247.6906586,1,198.2350311,344.7200317,1,37.11447144,135.4688721,38.11405945,97.02937317
115,161.396347,209.6208344,1,160.4122314,247.5183716,1,198.5646362,344.8733826,1,37.16828918,135.2525482,38.15240479,97.35501099
116,162.049057,209.7691956,1,161.4466095,247.7937622,1,198.9546051,345.0058899,1,36.9055481,135.2366943,37.50799561,97.21212769
117,162.5254211,209.417511,1,162.1599426,248.2257843,1,199.0691681,345.1498718,1,36.54374695,135.7323608,36.90922546,96.92408752
118,162.7364044,209.8817596,1,162.6405182,248.5349884,1,199.2545013,345.4095764,1,36.51809692,135.5278168,36.61398315,96.87458801
119,163.1226807,211.0137634,1,163.0609894,249.8984375,1,199.7327118,345.5272217,1,36.61003113,134.5134583,36.67172241,95.62878418
120,162.8471069,212.4550781,1,163.8526917,251.817627,1,199.6876831,346.1732788,1,36.84057617,133.7182007,35.83499146,94.35565186
121,162.7205353,212.8105621,1,163.8204956,252.1374054,1,199.8503418,346.4154663,1,37.12980652,133.6049042,36.02984619,94.27806091
122,163.1640472,213.3224945,1,163.7924347,252.5744629,1,199.8766479,346.3636475,1,36.71260071,133.041153,36.08421326,93.78918457
123,163.7578583,213.6854858,1,164.1807709,252.9217987,1,200.3111572,347.2888794,1,36.55329895,133.6033936,36.13038635,94.36708069
124,164.0662689,213.8645325,1,164.7949371,253.3729858,1,200.3239288,347.3460388,1,36.25765991,133.4815063,35.5289917,93.97305298
125,164.6307373,214.0512085,1,165.3760376,252.5129089,1,200.6302185,347.5917358,1,35.9994812,133.5405273,35.25418091,95.0788269
126,164.9659424,214.0015564,1,165.6610565,252.0870972,1,200.7638092,347.87146,1,35.79786682,133.8699036,35.10275269,95.78436279
127,164.8852692,214.1971436,1,165.8623657,251.2245483,1,200.8649292,348.4819031,1,35.97966003,134.2847595,35.00256348,97.25735474
128,164.7503204,214.1106262,1,165.7707062,250.6382446,1,200.876297,348.5451965,1,36.12597656,134.4345703,35.10559082,97.9069519
129,164.8006287,214.3159485,1,165.6568756,250.3985901,1,201.188324,348.7980957,1,36.38769531,134.4821472,35.53144836,98.39950562
130,164.6854553,214.6971741,1,165.6662903,250.5032501,1,201.0713501,348.9248657,1,36.38589478,134.2276917,35.40505981,98.4216156
131,164.598526,215.291214,1,165.5538025,250.4757385,1,201.4831085,349.0977478,1,36.88458252,133.8065338,35.92930603,98.62200928
132,164.6208191,215.6640167,1,165.5189209,250.3441162,1,201.4443512,349.085968,1,36.8235321,133.4219513,35.9254303,98.74185181
133,164.4531555,215.8535919,1,165.5882111,250.5355072,1,201.4610748,349.1296387,1,37.00791931,133.2760468,35.87286377,98.59413147
134,164.275116,216.2223053,1,165.4513702,250.8478699,1,201.2386017,349.2427063,1,36.96348572,133.020401,35.78723145,98.39483643
135,163.8820953,216.3884277,1,164.9457703,250.9347382,1,201.2149811,349.2016907,1,37.33288574,132.8132629,36.26921082,98.26695251
136,163.2752991,216.2516937,1,164.544754,250.8726349,1,201.1798096,349.1906433,1,37.9045105,132.9389496,36.63505554,98.31800842
137,162.4563904,216.6672821,1,163.5947113,251.4906769,1,201.0880737,348.9432678,1,38.63168335,132.2759857,37.49336243,97.45259094
138,161.3628235,216.9351807,1,162.6230469,251.8129883,1,200.7869873,348.6824951,1,39.42416382,131.7473145,38.16394043,96.86950684
139,160.5561981,217.1345978,1,161.3444977,252.083374,1,200.3254242,348.2610168,1,39.76922607,131.1264191,38.98092651,96.17764282
140,159.8157806,217.1786804,1,160.3750763,252.7394714,1,199.7646027,348.0811462,1,39.94882202,130.9024658,39.38952637,95.3416748
141,158.4208984,217.7711334,1,158.8630829,253.1330719,1,199.2245331,347.9616089,1,40.80363464,130.1904755,40.3614502,94.82853699
142,157.3639221,218.1030884,1,158.092392,253.7332153,1,198.7314911,347.7048035,1,41.36756897,129.6017151,40.63909912,93.97158813
143,156.7364655,218.6345215,1,157.7432861,253.5410614,1,198.7899475,347.694458,1,42.05348206,129.0599365,41.04666138,94.15339661
144,156.7204132,218.8645325,1,157.6383209,253.5813141,1,198.6110229,347.7165833,1,41.89060974,128.8520508,40.97270203,94.13526917
145,156.3114166,219.2348175,1,157.4282684,253.601059,1,198.3913116,347.6618652,1,42.07989502,128.4270477,40.96304321,94.06080627
146,156.2323303,219.3714142,1,156.769165,254.3404388,1,198.4619904,347.6642151,1,42.22966003,128.2928009,41.69282532,93.32377625
147,155.0752869,219.5319061,1,155.4957581,255.1040344,1,198.4868011,347.4981079,1,43.41151428,127.9662018,42.99104309,92.39407349
148,153.59552,220.0309906,1,153.8489838,255.2817383,1,197.6768188,347.0641785,1,44.08129883,127.0331879,43.82783508,91.78244019
149,151.7086792,220.6751709,1,152.1494446,255.6363983,1,196.8668976,346.6972351,1,45.15821838,126.0220642,44.717453,91.06083679
150,150.3768768,220.8605194,1,150.7220917,256.1233215,1,196.5779724,346.6337585,1,46.20109558,125.7732391,45.85588074,90.51043701
151,149.6897278,221.0058289,1,150.0707703,256.302887,1,196.4371033,346.5835266,1,46.74737549,125.5776978,46.36633301,90.28063965
152,149.6081848,220.7280273,1,149.9762115,256.1762085,1,196.2290802,346.4266663,1,46.62089539,125.6986389,46.25286865,90.25045776
153,149.8013916,220.2031555,1,150.0608063,255.4885254,1,196.2607269,346.3591614,1,46.45933533,126.1560059,46.19992065,90.87063599
154,150.2777557,219.692276,1,150.4130096,255.2256775,1,196.439209,346.3865051,1,46.16145325,126.6942291,46.02619934,91.16082764
155,150.7982941,219.3044891,1,150.8837738,255.1072998,1,196.5340576,346.4125977,1,45.73576355,127.1081085,45.65028381,91.30529785
156,151.5780487,218.5818024,1,151.6898346,254.3800964,1,196.5146332,346.4725342,1,44.93658447,127.8907318,44.82479858,92.09243774
157,152.3052216,218.4243622,1,152.3757935,253.929718,1,196.6143646,346.6251221,1,44.30914307,128.2007599,44.23857117,92.69540405
158,152.7823639,218.0731812,1,152.8624725,253.7097931,1,196.7756042,346.7538147,1,43.99324036,128.6806335,43.91313171,93.04402161
159,152.9304352,218.0181732,1,152.8901672,253.7230988,1,196.7670135,346.885498,1,43.83657837,128.8673248,43.87684631,93.16239929
160,152.8962555,218.175293,1,152.7281799,253.9205322,1,196.8207397,346.9319763,1,43.92448425,128.7566833,44.09255981,93.01144409
161,151.9638214,219.6350555,1,152.1748352,254.8630981,1,196.8169556,346.9117737,1,44.85313416,127.2767181,44.64212036,92.04867554
162,150.1418915,220.814209,1,150.5033722,256.5872192,1,196.5479584,346.9773865,1,46.40606689,126.1631775,46.04458618,90.39016724
163,148.3158722,222.161911,1,148.2206726,258.3218384,1,196.6935272,346.8372192,1,48.37765503,124.6753082,48.47285461,88.51538086
164,146.9073486,222.1347198,1,146.7433014,258.3000793,1,196.3100586,346.6229553,1,49.40270996,124.4882355,49.5667572,88.32287598
165,146.542099,221.4624481,1,146.2924194,257.7796021,1,196.0932007,346.6854858,1,49.55110168,125.2230377,49.80078125,88.90588379
166,147.5939178,220.6539612,1,146.8050232,256.9793091,1,196.0454712,346.7194824,1,48.45155334,126.0655212,49.240448,89.74017334
167,148.5345459,219.5397491,1,148.8385468,255.4614258,1,196.0609741,346.5137329,1,47.52642822,126.9739838,47.22242737,91.05230713
168,149.750824,217.3989258,1,149.7281647,254.1016846,1,196.168457,346.5080872,1,46.41763306,129.1091614,46.44029236,92.40640259
169,151.3788605,216.3794098,1,151.4624176,251.9529114,1,196.8486481,346.7175293,1,45.4697876,130.3381195,45.38623047,94.76461792
170,152.5845947,215.3987579,1,153.154953,251.0606689,1,197.2404327,346.8274231,1,44.65583801,131.4286652,44.08547974,95.76675415
171,153.4880524,214.892807,1,154.6522217,250.6761627,1,197.2894592,346.6637878,1,43.80140686,131.7709808,42.63723755,95.98762512
172,154.1415405,214.9286652,1,155.1372986,251.0014954,1,197.8558197,346.8493958,1,43.71427917,131.9207306,42.71852112,95.84790039
173,154.733429,215.3493042,1,155.2983856,251.2452545,1,198.6233826,346.9952087,1,43.88995361,131.6459045,43.32499695,95.74995422
174,154.0974426,216.8262329,1,155.7296448,251.796875,1,199.7556763,347.5013123,1,45.65823364,130.6750793,44.02603149,95.70443726
175,152.8930206,217.7376556,1,154.9322205,253.1470184,1,200.1877136,347.9843445,1,47.29469299,130.2466888,45.25549316,94.83732605
176,151.5896912,218.3609467,1,153.3411255,254.6768799,1,200.4389038,348.27005,1,48.84921265,129.9091034,47.09777832,93.59317017
177,150.287323,219.7854614,1,152.611084,255.7163391,1,200.5173492,348.2796936,1,50.23002625,128.4942322,47.90626526,92.56335449
178,149.8508301,220.0593567,1,151.945343,256.2997437,1,200.364563,348.5516052,1,50.51373291,128.4922485,48.41921997,92.25186157
179,150.0350952,219.9558563,1,151.9942627,256.1737061,1,200.0163574,348.5950928,1,49.98126221,128.6392365,48.02209473,92.42138672
180,150.6910095,219.3072052,1,153.1934357,256.0170288,1,201.3183289,349.1903381,1,50.62731934,129.8831329,48.12489319,93.17330933
181,150.9619141,218.717392,1,153.6157532,255.1392517,1,200.9530792,349.291748,1,49.99116516,130.5743561,47.33732605,94.15249634
182,151.9573822,217.7741089,1,154.3107605,254.1033783,1,200.6060944,349.0071716,1,48.64871216,131.2330627,46.29533386,94.90379333
183,152.3450165,217.4628601,1,154.7812042,253.8530579,1,200.3549957,348.7963257,1,48.00997925,131.3334656,45.5737915,94.94326782
184,152.7334747,217.0041809,1,155.1336823,253.4724426,1,200.1695251,348.5907593,1,47.43605042,131.5865784,45.0358429,95.11831665
185,153.701416,215.9951324,1,155.5497437,252.3875732,1,200.1674194,348.6078491,1,46.46600342,132.6127167,44.61767578,96.22027588
186,154.7148285,215.0080261,1,156.0923004,251.3553619,1,200.0993958,348.3328247,1,45.38456726,133.3247986,44.00709534,96.97746277
187,155.4950409,213.1151581,1,156.7268677,250.3539276,1,199.8718262,348.2640991,1,44.37678528,135.148941,43.1449585,97.91017151
